City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,maffra,-37.9667,146.9833,15.35,45,100,100,100,100
99,hamilton,39.1834,-84.5333,24.85,72,40,40,40,40
100,alice town,25.7167,-79.3,30.51,73,3,3,3,3
101,wailua homesteads,22.0669,-159.378,35.24,76,75,75,75,75
102,hasaki,35.7333,140.8333,30.22,90,100,100,100,100
103,qaqortoq,60.7167,-46.0333,4.72,89,52,52,52,52
104,segarcea,44.1,23.75,15.38,74,12,12,12,12
105,ngorongoro,-3.2397,35.4875,8.84,91,69,69,69,69
106,valparaiso,-33.0393,-71.6273,15.0,67,100,100,100,100
107,robore,-18.3333,-59.75,23.39,55,0,0,0,0
108,fort bragg,35.139,-79.006,28.79,66,0,0,0,0
109,tannum sands,-23.9504,151.3693,24.3,40,1,1,1,1
110,klyuchi,52.2667,79.1667,21.83,43,63,63,63,63
111,farafangana,-22.8167,47.8333,19.09,91,93,93,93,93
112,cheremukhovo,60.3484,59.9851,16.57,84,100,100,100,100
113,avarua,-21.2078,-159.775,24.03,64,75,75,75,75
114,san patricio,28.017,-97.5169,31.21,74,0,0,0,0
115,maintirano,-18.0667,44.0167,20.8,86,1,1,1,1
116,papatowai,-46.5619,169.4708,5.81,69,98,98,98,98
117,vadso,70.0744,29.7487,19.49,82,0,0,0,0
118,ellore,16.7,81.1,28.05,75,100,100,100,100
119,acarau,-2.8856,-40.12,25.7,83,100,100,100,100
120,sambava,-14.2667,50.1667,19.94,90,17,17,17,17
121,george town,5.4112,100.3354,29.97,78,20,20,20,20
122,glace bay,46.1969,-59.957,17.77,91,100,100,100,100
123,porto novo,6.4965,2.6036,23.82,91,92,92,92,92
124,shingu,33.7333,135.9833,28.0,92,54,54,54,54
125,colonia,50.9333,6.95,16.36,89,100,100,100,100
126,oranjemund,-28.55,16.4333,11.79,93,4,4,4,4
127,weno,7.4515,151.8468,30.97,79,100,100,100,100
128,hunucma,21.0167,-89.8667,31.05,83,30,30,30,30
129,pocinhos,-7.0767,-36.0611,20.16,98,100,100,100,100
130,port douglas,-16.4833,145.4667,23.19,67,23,23,23,23
131,novodvinsk,64.4165,40.8122,12.95,93,5,5,5,5
132,onega,63.9061,38.1404,14.13,83,1,1,1,1
133,tralee,52.2704,-9.7026,15.82,97,98,98,98,98
134,at taj,24.2049,23.2857,26.79,35,79,79,79,79
135,olonkinbyen,70.9221,-8.7187,4.77,93,100,100,100,100
136,uturoa,-16.7333,-151.4333,25.39,83,99,99,99,99
137,sola,-13.8833,167.55,24.3,85,100,100,100,100
138,punta arenas,-53.15,-70.9167,1.16,88,32,32,32,32
139,puerto colombia,10.9878,-74.9547,28.05,86,100,100,100,100
140,sarina,-21.4333,149.2167,24.04,60,73,73,73,73
141,sanctuary point,-35.1114,150.629,21.1,48,0,0,0,0
142,ancud,-41.8697,-73.8203,10.27,97,100,100,100,100
143,vernon,50.2581,-119.2691,28.67,30,83,83,83,83
144,protaras,35.0125,34.0583,26.66,91,0,0,0,0
145,ballina,-28.8667,153.5667,18.77,65,12,12,12,12
146,viedma,-40.8135,-62.9967,10.93,43,86,86,86,86
147,happy valley-goose bay,53.3168,-60.3315,16.17,77,75,75,75,75
148,aasiaat,68.7098,-52.8699,2.38,74,100,100,100,100
149,deqen,29.9618,90.7188,15.44,70,69,69,69,69
150,chipinge,-20.1883,32.6236,8.69,69,0,0,0,0
151,prince rupert,54.3161,-130.3201,15.05,100,100,100,100,100
152,sao joao da barra,-21.6403,-41.0511,21.38,87,14,14,14,14
153,maues,-3.3836,-57.7186,27.06,57,87,87,87,87
154,mont-dore,-22.2833,166.5833,22.99,52,24,24,24,24
155,nemuro,43.3236,145.575,19.12,99,100,100,100,100
156,chardara,41.2547,67.9692,26.1,39,0,0,0,0
157,mount gambier,-37.8333,140.7667,14.84,50,1,1,1,1
158,carnarvon,-24.8667,113.6333,21.16,60,4,4,4,4
159,alofi,-19.0595,-169.9187,26.94,89,75,75,75,75
160,kotel'nikovo,47.6317,43.1461,24.54,61,0,0,0,0
161,sungai raya,0.7,108.9,28.26,75,78,78,78,78
162,puerto deseado,-47.7503,-65.8938,9.31,53,100,100,100,100
163,st. john's,47.5649,-52.7093,13.21,91,100,100,100,100
164,egilsstadir,65.2653,-14.3948,5.95,81,100,100,100,100
165,bismarck,46.8083,-100.7837,24.89,65,0,0,0,0
166,tolanaro,-25.0319,46.9987,19.04,94,40,40,40,40
167,quellon,-43.1167,-73.6167,10.14,93,100,100,100,100
168,usogorsk,63.4106,48.6872,13.59,75,8,8,8,8
